,Region,480,486,493,500,507,514,521
0,Belgium,,156,129,107,92,82,76
1,Bulgaria,,199,142,98,75,64,66
2,Czechia,,171,127,88,61,46,43
3,Denmark,,11,11,11,11,11,11
4,Germany,,1074,852,687,581,529,507
5,Estonia,,30,32,32,32,32,32
6,Ireland,,26,27,27,27,27,27
7,Greece,,395,359,333,315,306,306
8,Spain,,388,317,251,205,173,150
9,France,,932,707,540,437,385,379
10,Croatia,,184,136,90,60,47,49
11,Italy,,1015,739,524,392,332,333
12,Cyprus,,13,13,13,13,13,13
13,Latvia,,54,49,48,47,46,44
14,Lithuania,,62,45,38,31,27,23
15,Luxembourg,,5,5,5,5,5,5
16,Hungary,,392,257,172,121,98,96
17,Malta,,1,2,2,2,2,2
18,Netherlands,,130,103,85,75,75,82
19,Austria,,64,43,28,19,16,15
20,Poland,,1045,696,485,382,343,381
21,Portugal,,14,15,15,15,15,15
22,Romania,,386,273,189,141,119,131
23,Slovenia,,39,40,41,41,41,40
24,Slovakia,,158,123,96,80,74,76
25,Finland,,11,11,11,11,11,11
26,Sweden,,113,107,98,92,86,81
27,United Kingdom,,56,51,46,44,42,40
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,15,15,15,15,15,15
31,Switzerland,,29,24,20,17,14,14
