,Region,536,542,549,556,563,570,577
0,Belgium,,25,26,26,27,26,26
1,Bulgaria,,21,17,15,13,12,12
2,Czechia,,17,19,19,19,19,19
3,Denmark,,3,3,3,3,3,3
4,Germany,,146,133,144,163,182,194
5,Estonia,,0,1,1,1,1,1
6,Ireland,,7,8,7,8,7,7
7,Greece,,73,122,158,168,162,144
8,Spain,,255,366,429,419,369,314
9,France,,159,197,254,314,358,386
10,Croatia,,19,22,22,22,22,22
11,Italy,,113,124,146,170,187,198
12,Cyprus,,0,1,1,1,1,1
13,Latvia,,18,19,19,20,19,20
14,Lithuania,,14,14,14,14,14,15
15,Luxembourg,,0,0,0,0,0,0
16,Hungary,,24,24,24,24,24,24
17,Malta,,0,0,0,0,0,0
18,Netherlands,,15,15,15,15,14,15
19,Austria,,15,16,15,15,15,15
20,Poland,,48,37,32,31,33,38
21,Portugal,,32,27,27,27,27,27
22,Romania,,33,29,26,22,21,21
23,Slovenia,,4,4,4,4,4,4
24,Slovakia,,15,15,15,15,15,15
25,Finland,,3,3,3,3,3,3
26,Sweden,,9,9,9,9,9,9
27,United Kingdom,,258,331,399,408,349,288
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,2,2,2,2,2,2
31,Switzerland,,10,10,9,10,10,9
