,Region,382,388,395,402,409,416,423
0,Belgium,,269,224,200,184,171,159
1,Bulgaria,,268,315,381,435,469,486
2,Czechia,,802,699,666,637,603,578
3,Denmark,,59,49,36,28,28,28
4,Germany,,3479,2989,2523,2244,2153,2210
5,Estonia,,39,39,39,40,41,42
6,Ireland,,200,132,95,75,71,80
7,Greece,,186,228,258,270,260,236
8,Spain,,3218,3284,3210,3130,3026,2907
9,France,,3435,3449,3460,3470,3475,3509
10,Croatia,,142,124,117,119,131,152
11,Italy,,2566,2392,2275,2222,2221,2246
12,Cyprus,,7,7,7,7,7,7
13,Latvia,,105,104,103,104,106,108
14,Lithuania,,96,77,63,56,55,59
15,Luxembourg,,12,12,12,11,11,11
16,Hungary,,576,582,640,716,794,881
17,Malta,,15,14,14,15,17,21
18,Netherlands,,363,300,267,243,230,223
19,Austria,,252,230,214,203,198,198
20,Poland,,1547,1400,1360,1378,1422,1487
21,Portugal,,1271,755,790,948,1007,1061
22,Romania,,569,566,602,653,708,769
23,Slovenia,,95,81,67,55,49,45
24,Slovakia,,583,610,653,701,751,804
25,Finland,,28,32,34,35,35,33
26,Sweden,,364,323,287,261,239,224
27,United Kingdom,,4945,3605,2619,2008,1750,1767
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,1,1,1,1,1
30,Norway,,10,8,7,7,7,7
31,Switzerland,,197,166,143,126,116,112
