,Region,599,605,612,619,626,633,640
0,Belgium,,42,41,41,41,42,41
1,Bulgaria,,519,525,521,512,501,482
2,Czechia,,9,10,10,10,10,10
3,Denmark,,11,12,12,12,12,12
4,Germany,,268,250,240,243,252,264
5,Estonia,,8,8,8,8,8,8
6,Ireland,,18,18,18,18,18,18
7,Greece,,281,296,290,295,319,360
8,Spain,,420,335,260,210,182,174
9,France,,526,401,277,197,169,176
10,Croatia,,45,39,38,39,39,38
11,Italy,,388,362,325,293,271,259
12,Cyprus,,15,18,18,18,18,18
13,Latvia,,13,12,12,12,12,11
14,Lithuania,,102,115,137,158,177,193
15,Luxembourg,,1,1,1,1,1,1
16,Hungary,,11,12,12,12,12,12
17,Malta,,5,4,4,4,5,4
18,Netherlands,,40,38,35,33,31,28
19,Austria,,22,23,23,23,23,23
20,Poland,,31,31,31,31,31,31
21,Portugal,,54,41,32,26,24,26
22,Romania,,393,595,845,986,908,750
23,Slovenia,,8,9,9,9,9,9
24,Slovakia,,3,3,3,3,3,3
25,Finland,,11,11,11,11,11,11
26,Sweden,,11,11,11,11,11,11
27,United Kingdom,,959,991,1021,1049,1073,1088
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,4,4,4,4,4,4
31,Switzerland,,32,35,35,35,35,35
