,Region,431,437,444,451,458,465,472
0,Belgium,,214,221,224,215,194,172
1,Bulgaria,,644,534,456,393,339,296
2,Czechia,,986,658,489,471,564,666
3,Denmark,,13,13,13,13,13,13
4,Germany,,1151,1048,925,791,668,563
5,Estonia,,59,46,36,35,35,36
6,Ireland,,61,52,53,54,54,54
7,Greece,,415,418,428,441,446,454
8,Spain,,1181,1276,1349,1412,1432,1417
9,France,,1880,1886,1843,1723,1542,1369
10,Croatia,,164,214,264,288,277,255
11,Italy,,3113,3057,2920,2733,2577,2440
12,Cyprus,,5,5,5,5,5,5
13,Latvia,,47,42,38,36,34,32
14,Lithuania,,85,90,99,106,111,114
15,Luxembourg,,25,25,25,25,25,25
16,Hungary,,1689,1647,1562,1456,1338,1227
17,Malta,,17,18,18,18,18,18
18,Netherlands,,169,157,148,137,128,119
19,Austria,,203,202,199,191,181,168
20,Poland,,2826,3144,3282,3060,2622,2184
21,Portugal,,55,42,35,35,34,35
22,Romania,,1006,1010,1020,1040,1044,1033
23,Slovenia,,46,45,44,45,45,45
24,Slovakia,,364,258,191,149,131,125
25,Finland,,18,18,18,18,18,18
26,Sweden,,171,172,171,169,166,163
27,United Kingdom,,313,237,186,149,123,104
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,8,8,9,8,8,9
31,Switzerland,,85,95,100,100,98,94
