,Region,389,395,402,409,416,423,430
0,Belgium,,215,171,144,125,109,95
1,Bulgaria,,327,386,433,460,463,448
2,Czechia,,1014,1069,1127,1254,1390,1535
3,Denmark,,53,41,34,28,28,28
4,Germany,,2789,2256,1812,1482,1328,1305
5,Estonia,,32,31,29,28,27,25
6,Ireland,,210,166,145,140,144,158
7,Greece,,160,154,140,119,96,78
8,Spain,,2822,2204,1634,1311,1166,1153
9,France,,2391,2005,1788,1635,1576,1551
10,Croatia,,117,100,87,82,83,90
11,Italy,,2211,2053,1903,1771,1668,1583
12,Cyprus,,7,5,5,4,4,5
13,Latvia,,102,100,97,96,97,99
14,Lithuania,,33,27,19,14,13,14
15,Luxembourg,,14,13,12,12,12,12
16,Hungary,,676,822,1005,1180,1330,1458
17,Malta,,14,12,12,12,12,12
18,Netherlands,,344,317,309,325,361,414
19,Austria,,184,162,148,138,131,127
20,Poland,,1802,1861,1950,2069,2204,2342
21,Portugal,,639,285,155,129,191,281
22,Romania,,479,501,513,521,526,531
23,Slovenia,,75,57,44,35,28,28
24,Slovakia,,581,722,787,852,908,962
25,Finland,,21,23,23,23,22,21
26,Sweden,,309,286,265,246,227,210
27,United Kingdom,,3324,2333,1651,1227,1075,1154
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,1,1,1,1,1,1
30,Norway,,10,9,8,7,7,7
31,Switzerland,,118,86,64,50,40,34
