,Region,571,577,584,591,598,605,612
0,Belgium,,19,19,19,19,19,19
1,Bulgaria,,43,42,42,41,41,41
2,Czechia,,12,12,12,12,12,12
3,Denmark,,5,4,4,4,4,4
4,Germany,,94,84,72,63,54,47
5,Estonia,,2,2,2,1,2,2
6,Ireland,,9,9,9,9,9,9
7,Greece,,182,253,339,441,551,675
8,Spain,,529,559,562,584,646,752
9,France,,484,527,527,515,499,477
10,Croatia,,10,11,11,11,11,11
11,Italy,,222,229,230,229,227,218
12,Cyprus,,15,18,17,17,17,17
13,Latvia,,4,4,4,4,4,4
14,Lithuania,,14,11,11,11,11,11
15,Luxembourg,,2,2,2,2,2,2
16,Hungary,,5,5,5,5,5,5
17,Malta,,2,2,2,2,2,2
18,Netherlands,,41,39,39,39,39,39
19,Austria,,8,6,6,6,6,6
20,Poland,,20,21,21,21,21,21
21,Portugal,,94,89,89,93,101,111
22,Romania,,25,23,23,23,23,23
23,Slovenia,,1,2,2,2,2,2
24,Slovakia,,4,5,5,5,5,4
25,Finland,,6,6,6,6,6,6
26,Sweden,,3,3,3,3,3,3
27,United Kingdom,,655,673,748,835,933,1040
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,3,3,3,3,3,3
31,Switzerland,,10,9,9,9,9,9
