,Region,585,591,598,605,612,619,626
0,Belgium,,29,29,29,29,29,29
1,Bulgaria,,347,423,485,512,523,530
2,Czechia,,11,10,10,10,10,10
3,Denmark,,9,7,7,7,7,8
4,Germany,,156,165,168,155,131,110
5,Estonia,,5,4,4,4,4,4
6,Ireland,,13,13,13,13,13,13
7,Greece,,271,318,366,409,450,488
8,Spain,,745,737,707,698,716,781
9,France,,643,570,510,471,457,463
10,Croatia,,15,15,15,15,15,15
11,Italy,,438,488,536,574,609,636
12,Cyprus,,18,19,19,19,19,19
13,Latvia,,4,4,4,4,4,4
14,Lithuania,,32,30,31,30,30,30
15,Luxembourg,,2,2,2,2,2,2
16,Hungary,,8,7,8,7,8,7
17,Malta,,3,4,4,4,4,4
18,Netherlands,,75,96,123,156,189,232
19,Austria,,13,10,10,10,10,10
20,Poland,,20,20,20,20,19,19
21,Portugal,,73,69,67,66,68,72
22,Romania,,177,299,472,608,631,590
23,Slovenia,,3,4,4,4,4,4
24,Slovakia,,2,2,2,2,2,2
25,Finland,,9,10,10,10,10,10
26,Sweden,,7,7,7,7,7,7
27,United Kingdom,,936,1096,1286,1494,1754,2071
28,Iceland,,1,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,3,3,3,4,4,3
31,Switzerland,,13,14,14,14,14,14
