,Region,438,444,451,458,465,472,479
0,Belgium,,216,178,153,137,122,110
1,Bulgaria,,679,542,468,408,361,322
2,Czechia,,685,434,287,227,230,264
3,Denmark,,12,12,12,12,12,12
4,Germany,,735,509,368,280,224,194
5,Estonia,,61,47,35,28,27,28
6,Ireland,,39,35,31,28,26,24
7,Greece,,558,587,617,640,650,653
8,Spain,,766,713,661,642,616,603
9,France,,2424,2277,2305,2251,2098,1889
10,Croatia,,211,258,311,329,304,266
11,Italy,,3031,2785,2528,2299,2138,2058
12,Cyprus,,5,7,7,7,7,7
13,Latvia,,51,46,43,41,39,39
14,Lithuania,,62,65,64,61,56,50
15,Luxembourg,,24,24,24,24,24,24
16,Hungary,,1684,1509,1287,1091,947,864
17,Malta,,15,16,16,16,16,16
18,Netherlands,,156,123,103,88,77,70
19,Austria,,178,172,161,148,136,124
20,Poland,,3007,2802,2542,2283,2030,1825
21,Portugal,,35,29,28,26,23,24
22,Romania,,985,964,943,921,900,882
23,Slovenia,,46,46,45,46,46,46
24,Slovakia,,396,296,232,188,165,159
25,Finland,,18,18,18,18,18,18
26,Sweden,,151,156,156,152,147,143
27,United Kingdom,,178,118,77,51,38,33
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,10,10,10,10,10,10
31,Switzerland,,64,61,57,52,47,42
