,Region,466,472,479,486,493,500,507
0,Belgium,,245,224,209,200,201,213
1,Bulgaria,,504,382,294,236,209,219
2,Czechia,,297,230,180,154,152,172
3,Denmark,,14,15,15,15,15,15
4,Germany,,1408,1180,1002,868,781,728
5,Estonia,,17,13,9,7,7,7
6,Ireland,,43,44,44,44,45,44
7,Greece,,413,416,374,343,327,316
8,Spain,,610,547,508,487,462,440
9,France,,1382,1026,763,616,553,541
10,Croatia,,277,227,204,190,181,176
11,Italy,,1579,1338,1138,996,910,879
12,Cyprus,,13,13,13,13,13,13
13,Latvia,,42,36,34,32,30,28
14,Lithuania,,106,105,104,102,97,92
15,Luxembourg,,11,11,11,11,11,10
16,Hungary,,892,656,442,306,245,242
17,Malta,,5,4,4,4,4,4
18,Netherlands,,122,117,106,96,86,79
19,Austria,,133,115,98,87,81,79
20,Poland,,2046,1366,860,576,452,462
21,Portugal,,21,24,24,24,24,24
22,Romania,,764,593,437,328,270,272
23,Slovenia,,46,46,46,46,46,47
24,Slovakia,,213,159,123,102,94,94
25,Finland,,16,16,16,16,16,16
26,Sweden,,138,136,126,117,109,101
27,United Kingdom,,109,89,76,66,57,52
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,21,21,21,21,21,21
31,Switzerland,,60,59,54,50,45,42
