,Region,473,479,486,493,500,507,514
0,Belgium,,256,231,221,221,231,250
1,Bulgaria,,315,227,161,123,107,103
2,Czechia,,227,173,131,109,107,124
3,Denmark,,13,14,13,14,14,14
4,Germany,,1353,1211,1075,978,915,873
5,Estonia,,43,43,43,43,43,43
6,Ireland,,35,34,34,34,34,34
7,Greece,,472,439,405,386,382,386
8,Spain,,479,433,376,328,289,255
9,France,,1361,1013,790,639,570,569
10,Croatia,,264,203,156,126,120,129
11,Italy,,1385,1124,883,687,560,501
12,Cyprus,,16,15,15,15,16,15
13,Latvia,,51,49,47,46,44,42
14,Lithuania,,96,91,89,86,84,81
15,Luxembourg,,9,9,9,9,9,9
16,Hungary,,606,391,256,177,139,135
17,Malta,,3,3,3,3,3,3
18,Netherlands,,141,131,120,113,110,108
19,Austria,,107,84,61,46,39,38
20,Poland,,1646,1090,737,568,519,547
21,Portugal,,17,18,18,18,19,19
22,Romania,,518,384,283,222,197,196
23,Slovenia,,44,43,43,43,43,43
24,Slovakia,,175,127,97,78,68,65
25,Finland,,13,13,13,13,13,13
26,Sweden,,120,113,103,94,87,81
27,United Kingdom,,49,41,34,29,26,23
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,20,20,20,20,20,20
31,Switzerland,,65,61,56,52,49,48
