,Region,543,549,556,563,570,577,584
0,Belgium,,18,18,18,18,18,18
1,Bulgaria,,41,37,37,37,37,37
2,Czechia,,11,10,9,10,10,10
3,Denmark,,3,3,3,3,3,3
4,Germany,,120,149,189,221,243,253
5,Estonia,,0,0,0,0,0,0
6,Ireland,,10,10,10,10,10,10
7,Greece,,52,49,51,47,40,35
8,Spain,,125,145,150,131,108,94
9,France,,200,331,507,618,663,659
10,Croatia,,15,16,16,15,16,16
11,Italy,,108,155,201,221,220,203
12,Cyprus,,2,2,2,2,2,2
13,Latvia,,11,11,11,11,11,11
14,Lithuania,,9,9,9,9,9,9
15,Luxembourg,,0,0,0,0,0,0
16,Hungary,,16,16,16,16,16,16
17,Malta,,0,0,0,0,0,0
18,Netherlands,,14,13,13,13,13,13
19,Austria,,12,12,12,12,12,12
20,Poland,,39,33,33,34,36,38
21,Portugal,,39,35,35,35,35,35
22,Romania,,14,7,4,1,0,0
23,Slovenia,,3,3,3,3,3,3
24,Slovakia,,7,7,7,7,7,7
25,Finland,,3,3,3,3,3,3
26,Sweden,,11,11,11,11,11,11
27,United Kingdom,,347,415,453,441,404,361
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0,0
30,Norway,,1,1,1,1,1,1
31,Switzerland,,8,8,8,8,8,8
