,State,592,598,605
0,Washington,NaN,189,187
1,Illinois,NaN,236,273
2,California,NaN,758,800
3,Arizona,NaN,211,202
4,Massachusetts,NaN,74,84
5,Wisconsin,NaN,96,105
6,Texas,NaN,1606,1597
7,Nebraska,NaN,2,4
8,Utah,NaN,45,45
9,Oregon,NaN,141,136
10,Florida,NaN,26,57
11,New York,NaN,240,274
12,Rhode Island,NaN,20,18
13,Georgia,NaN,593,622
14,New Hampshire,NaN,12,16
15,North Carolina,NaN,402,410
16,New Jersey,NaN,107,121
17,Colorado,NaN,101,110
18,Maryland,NaN,70,75
19,Nevada,NaN,129,117
20,Tennessee,NaN,337,379
21,Hawaii,NaN,30,34
22,Indiana,NaN,223,255
23,Kentucky,NaN,194,219
24,Minnesota,NaN,69,71
25,Oklahoma,NaN,204,228
26,Pennsylvania,NaN,200,217
27,South Carolina,NaN,351,367
28,District of Columbia,NaN,4,4
29,Kansas,NaN,98,108
30,Missouri,NaN,192,198
31,Vermont,NaN,7,8
32,Virginia,NaN,167,187
33,Connecticut,NaN,44,44
34,Iowa,NaN,57,73
35,Louisiana,NaN,290,264
36,Ohio,NaN,232,279
37,Michigan,NaN,179,215
38,South Dakota,NaN,18,24
39,Arkansas,NaN,166,162
40,Delaware,NaN,20,28
41,Mississippi,NaN,261,258
42,New Mexico,NaN,68,76
43,North Dakota,NaN,8,13
44,Wyoming,NaN,25,29
45,Alaska,NaN,15,17
46,Maine,NaN,16,19
47,Alabama,NaN,211,235
48,Idaho,NaN,53,56
49,Montana,NaN,35,43
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,75,81
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
