,State,676,682,689
0,Washington,NaN,58,40
1,Illinois,NaN,114,105
2,California,NaN,270,200
3,Arizona,NaN,213,157
4,Massachusetts,NaN,95,86
5,Wisconsin,NaN,133,122
6,Texas,NaN,186,150
7,Nebraska,NaN,13,16
8,Utah,NaN,34,34
9,Oregon,NaN,80,49
10,Florida,NaN,7,21
11,New York,NaN,245,225
12,Rhode Island,NaN,17,16
13,Georgia,NaN,104,81
14,New Hampshire,NaN,27,24
15,North Carolina,NaN,83,69
16,New Jersey,NaN,82,75
17,Colorado,NaN,159,120
18,Maryland,NaN,47,42
19,Nevada,NaN,33,20
20,Tennessee,NaN,80,66
21,Hawaii,NaN,6,4
22,Indiana,NaN,125,99
23,Kentucky,NaN,112,83
24,Minnesota,NaN,151,130
25,Oklahoma,NaN,23,28
26,Pennsylvania,NaN,284,233
27,South Carolina,NaN,59,47
28,District of Columbia,NaN,2,1
29,Kansas,NaN,40,35
30,Missouri,NaN,61,50
31,Vermont,NaN,7,5
32,Virginia,NaN,93,81
33,Connecticut,NaN,21,19
34,Iowa,NaN,79,69
35,Louisiana,NaN,26,25
36,Ohio,NaN,296,232
37,Michigan,NaN,278,223
38,South Dakota,NaN,17,15
39,Arkansas,NaN,37,31
40,Delaware,NaN,11,10
41,Mississippi,NaN,25,23
42,New Mexico,NaN,50,45
43,North Dakota,NaN,23,19
44,Wyoming,NaN,7,7
45,Alaska,NaN,12,11
46,Maine,NaN,26,21
47,Alabama,NaN,39,33
48,Idaho,NaN,29,22
49,Montana,NaN,42,30
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,52,33
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
