,State,347,353,360
0,Washington,3459,253,255
1,Illinois,18322,928,921
2,California,26638,2470,2565
3,Arizona,9061,617,604
4,Massachusetts,12610,511,493
5,Wisconsin,5261,256,283
6,Texas,28430,1573,1704
7,Nebraska,1672,119,137
8,Utah,1301,72,82
9,Oregon,1500,123,148
10,Florida,21987,932,1032
11,New York,38415,1080,1104
12,Rhode Island,1777,83,85
13,Georgia,10964,446,509
14,New Hampshire,780,75,73
15,North Carolina,6910,477,509
16,New Jersey,19208,577,574
17,Colorado,4934,328,330
18,Maryland,5994,299,298
19,Nevada,3180,217,221
20,Tennessee,7025,536,545
21,Hawaii,289,7,11
22,Indiana,8475,580,579
23,Kentucky,2723,240,290
24,Minnesota,5489,244,239
25,Oklahoma,2547,237,258
26,Pennsylvania,16230,1180,1121
27,South Carolina,5469,301,325
28,District of Columbia,794,29,29
29,Kansas,2872,317,309
30,Missouri,5736,298,322
31,Vermont,140,18,19
32,Virginia,5124,325,354
33,Connecticut,6099,309,322
34,Iowa,3946,203,220
35,Louisiana,7537,256,286
36,Ohio,9076,605,657
37,Michigan,13306,558,557
38,South Dakota,1513,63,71
39,Arkansas,3749,288,285
40,Delaware,930,43,47
41,Mississippi,4871,254,244
42,New Mexico,2551,195,197
43,North Dakota,1310,38,45
44,Wyoming,438,50,46
45,Alaska,215,20,24
46,Maine,359,55,57
47,Alabama,4873,264,291
48,Idaho,1448,100,107
49,Montana,972,63,78
50,Puerto Rico,1545,NaN,NaN
51,Virgin Islands,23,NaN,NaN
52,Guam,122,NaN,NaN
53,West Virginia,1376,146,153
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
