,State,704,710,717
0,Washington,NaN,125,132
1,Illinois,NaN,401,440
2,California,NaN,497,570
3,Arizona,NaN,384,345
4,Massachusetts,NaN,231,247
5,Wisconsin,NaN,377,317
6,Texas,NaN,377,486
7,Nebraska,NaN,15,27
8,Utah,NaN,44,46
9,Oregon,NaN,89,90
10,Florida,NaN,172,330
11,New York,NaN,540,568
12,Rhode Island,NaN,37,56
13,Georgia,NaN,312,448
14,New Hampshire,NaN,39,38
15,North Carolina,NaN,192,254
16,New Jersey,NaN,233,312
17,Colorado,NaN,194,197
18,Maryland,NaN,2,6
19,Nevada,NaN,81,80
20,Tennessee,NaN,1751,1442
21,Hawaii,NaN,22,24
22,Indiana,NaN,345,404
23,Kentucky,NaN,299,430
24,Minnesota,NaN,180,165
25,Oklahoma,NaN,616,611
26,Pennsylvania,NaN,594,595
27,South Carolina,NaN,167,230
28,District of Columbia,NaN,12,14
29,Kansas,NaN,37,59
30,Missouri,NaN,204,292
31,Vermont,NaN,15,18
32,Virginia,NaN,245,277
33,Connecticut,NaN,93,119
34,Iowa,NaN,130,132
35,Louisiana,NaN,68,97
36,Ohio,NaN,542,618
37,Michigan,NaN,670,661
38,South Dakota,NaN,28,32
39,Arkansas,NaN,128,157
40,Delaware,NaN,34,40
41,Mississippi,NaN,73,100
42,New Mexico,NaN,137,133
43,North Dakota,NaN,23,22
44,Wyoming,NaN,18,18
45,Alaska,NaN,29,29
46,Maine,NaN,49,46
47,Alabama,NaN,122,184
48,Idaho,NaN,29,30
49,Montana,NaN,45,65
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,118,145
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
