,State,410,416,423
0,Washington,5041,91,82
1,Illinois,23015,266,263
2,California,54220,1850,1748
3,Arizona,16328,314,286
4,Massachusetts,16417,258,231
5,Wisconsin,7106,79,70
6,Texas,45315,1603,1551
7,Nebraska,2113,37,36
8,Utah,1976,33,30
9,Oregon,2296,73,67
10,Florida,31683,823,772
11,New York,48335,748,728
12,Rhode Island,2541,44,40
13,Georgia,17906,505,476
14,New Hampshire,1184,11,11
15,North Carolina,11502,263,239
16,New Jersey,23574,319,308
17,Colorado,5990,66,66
18,Maryland,7955,110,105
19,Nevada,5037,78,76
20,Tennessee,11547,148,139
21,Hawaii,444,8,9
22,Indiana,12737,150,140
23,Kentucky,4819,139,125
24,Minnesota,6618,72,69
25,Oklahoma,4534,141,131
26,Pennsylvania,24334,331,305
27,South Carolina,8754,232,207
28,District of Columbia,1030,15,13
29,Kansas,4768,65,61
30,Missouri,8506,165,152
31,Vermont,208,6,6
32,Virginia,9596,771,645
33,Connecticut,7704,85,83
34,Iowa,5558,75,71
35,Louisiana,9748,124,125
36,Ohio,17501,87,107
37,Michigan,16658,176,171
38,South Dakota,1900,18,17
39,Arkansas,5319,57,60
40,Delaware,1473,38,33
41,Mississippi,6808,119,117
42,New Mexico,3808,95,98
43,North Dakota,1479,10,8
44,Wyoming,682,11,10
45,Alaska,305,16,16
46,Maine,706,12,13
47,Alabama,10148,188,169
48,Idaho,1879,19,19
49,Montana,1381,23,24
50,Puerto Rico,2059,NaN,NaN
51,Virgin Islands,25,NaN,NaN
52,Guam,133,NaN,NaN
53,West Virginia,2325,33,29
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
