,State,641,647,654
0,Washington,NaN,226,217
1,Illinois,NaN,247,244
2,California,NaN,1028,1001
3,Arizona,NaN,318,299
4,Massachusetts,NaN,92,91
5,Wisconsin,NaN,132,129
6,Texas,NaN,1104,1009
7,Nebraska,NaN,24,37
8,Utah,NaN,59,57
9,Oregon,NaN,124,111
10,Florida,NaN,109,195
11,New York,NaN,360,364
12,Rhode Island,NaN,14,15
13,Georgia,NaN,540,491
14,New Hampshire,NaN,34,35
15,North Carolina,NaN,295,267
16,New Jersey,NaN,129,123
17,Colorado,NaN,184,177
18,Maryland,NaN,91,87
19,Nevada,NaN,84,79
20,Tennessee,NaN,292,294
21,Hawaii,NaN,26,23
22,Indiana,NaN,230,223
23,Kentucky,NaN,243,225
24,Minnesota,NaN,151,141
25,Oklahoma,NaN,694,618
26,Pennsylvania,NaN,461,407
27,South Carolina,NaN,223,211
28,District of Columbia,NaN,6,5
29,Kansas,NaN,71,78
30,Missouri,NaN,152,161
31,Vermont,NaN,14,19
32,Virginia,NaN,214,190
33,Connecticut,NaN,37,37
34,Iowa,NaN,106,103
35,Louisiana,NaN,132,124
36,Ohio,NaN,521,480
37,Michigan,NaN,392,414
38,South Dakota,NaN,38,43
39,Arkansas,NaN,89,88
40,Delaware,NaN,34,29
41,Mississippi,NaN,103,103
42,New Mexico,NaN,89,104
43,North Dakota,NaN,38,34
44,Wyoming,NaN,50,41
45,Alaska,NaN,86,95
46,Maine,NaN,40,39
47,Alabama,NaN,190,171
48,Idaho,NaN,140,131
49,Montana,NaN,140,146
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,135,114
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
