,State,585,591,598
0,Washington,NaN,173,183
1,Illinois,NaN,229,276
2,California,NaN,659,713
3,Arizona,NaN,190,194
4,Massachusetts,NaN,55,67
5,Wisconsin,NaN,96,112
6,Texas,NaN,1302,1358
7,Nebraska,NaN,1,4
8,Utah,NaN,37,39
9,Oregon,NaN,113,125
10,Florida,NaN,30,78
11,New York,NaN,192,223
12,Rhode Island,NaN,12,15
13,Georgia,NaN,441,501
14,New Hampshire,NaN,18,18
15,North Carolina,NaN,309,338
16,New Jersey,NaN,101,110
17,Colorado,NaN,61,80
18,Maryland,NaN,58,67
19,Nevada,NaN,153,154
20,Tennessee,NaN,284,323
21,Hawaii,NaN,28,33
22,Indiana,NaN,183,217
23,Kentucky,NaN,216,246
24,Minnesota,NaN,63,74
25,Oklahoma,NaN,150,162
26,Pennsylvania,NaN,148,172
27,South Carolina,NaN,265,289
28,District of Columbia,NaN,6,8
29,Kansas,NaN,70,84
30,Missouri,NaN,205,210
31,Vermont,NaN,6,8
32,Virginia,NaN,162,182
33,Connecticut,NaN,32,38
34,Iowa,NaN,57,69
35,Louisiana,NaN,399,375
36,Ohio,NaN,189,239
37,Michigan,NaN,152,179
38,South Dakota,NaN,16,20
39,Arkansas,NaN,189,182
40,Delaware,NaN,21,21
41,Mississippi,NaN,262,249
42,New Mexico,NaN,45,55
43,North Dakota,NaN,15,17
44,Wyoming,NaN,27,28
45,Alaska,NaN,24,25
46,Maine,NaN,13,17
47,Alabama,NaN,254,271
48,Idaho,NaN,44,46
49,Montana,NaN,30,33
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,76,87
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
