,State,655,661,668
0,Washington,NaN,153,158
1,Illinois,NaN,221,242
2,California,NaN,563,581
3,Arizona,NaN,236,229
4,Massachusetts,NaN,92,92
5,Wisconsin,NaN,184,193
6,Texas,NaN,603,560
7,Nebraska,NaN,45,56
8,Utah,NaN,55,59
9,Oregon,NaN,134,126
10,Florida,NaN,50,102
11,New York,NaN,326,347
12,Rhode Island,NaN,17,15
13,Georgia,NaN,291,266
14,New Hampshire,NaN,55,58
15,North Carolina,NaN,202,192
16,New Jersey,NaN,103,101
17,Colorado,NaN,212,213
18,Maryland,NaN,82,77
19,Nevada,NaN,74,76
20,Tennessee,NaN,146,151
21,Hawaii,NaN,20,17
22,Indiana,NaN,201,199
23,Kentucky,NaN,157,153
24,Minnesota,NaN,229,237
25,Oklahoma,NaN,151,145
26,Pennsylvania,NaN,427,412
27,South Carolina,NaN,125,116
28,District of Columbia,NaN,4,4
29,Kansas,NaN,87,96
30,Missouri,NaN,144,146
31,Vermont,NaN,26,29
32,Virginia,NaN,169,164
33,Connecticut,NaN,27,28
34,Iowa,NaN,113,117
35,Louisiana,NaN,76,82
36,Ohio,NaN,327,334
37,Michigan,NaN,388,412
38,South Dakota,NaN,30,35
39,Arkansas,NaN,82,78
40,Delaware,NaN,26,27
41,Mississippi,NaN,75,79
42,New Mexico,NaN,83,89
43,North Dakota,NaN,39,40
44,Wyoming,NaN,43,42
45,Alaska,NaN,32,36
46,Maine,NaN,51,49
47,Alabama,NaN,146,119
48,Idaho,NaN,75,75
49,Montana,NaN,71,79
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,93,85
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
