,State,291,297,304
0,Washington,2439,85,110
1,Illinois,10538,729,786
2,California,17973,431,552
3,Arizona,6164,167,176
4,Massachusetts,10149,127,138
5,Wisconsin,2570,360,423
6,Texas,19180,660,781
7,Nebraska,703,98,138
8,Utah,659,82,102
9,Oregon,730,50,66
10,Florida,17121,354,447
11,New York,33903,187,235
12,Rhode Island,1224,25,28
13,Georgia,8648,174,202
14,New Hampshire,489,12,16
15,North Carolina,4607,218,253
16,New Jersey,16429,115,156
17,Colorado,2394,175,255
18,Maryland,4212,76,92
19,Nevada,1851,77,88
20,Tennessee,3595,226,257
21,Hawaii,221,7,9
22,Indiana,4629,307,370
23,Kentucky,1565,132,175
24,Minnesota,2710,252,312
25,Oklahoma,1438,127,142
26,Pennsylvania,9005,222,266
27,South Carolina,4036,111,130
28,District of Columbia,654,7,8
29,Kansas,1166,125,165
30,Missouri,3165,209,274
31,Vermont,59,2,4
32,Virginia,3707,99,134
33,Connecticut,4671,70,93
34,Iowa,1845,213,290
35,Louisiana,6036,76,87
36,Ohio,5517,286,391
37,Michigan,7945,347,406
38,South Dakota,536,109,121
39,Arkansas,2085,138,144
40,Delaware,718,11,13
41,Mississippi,3443,100,118
42,New Mexico,1118,93,100
43,North Dakota,639,113,127
44,Wyoming,114,36,48
45,Alaska,84,15,22
46,Maine,152,12,15
47,Alabama,3084,139,159
48,Idaho,686,81,97
49,Montana,456,76,90
50,Puerto Rico,872,NaN,NaN
51,Virgin Islands,23,NaN,NaN
52,Guam,88,NaN,NaN
53,West Virginia,504,47,56
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
