,State,425,430,437,444,451,458,465
0,Washington,NaN,4134,4211,4381,4645,4887,5188
1,Illinois,NaN,9949,10434,11289,11976,12525,12893
2,California,NaN,11735,10391,10293,11460,13104,14759
3,Arizona,NaN,1805,1210,1208,1574,2109,2621
4,Massachusetts,NaN,11156,12019,12840,13288,13514,13661
5,Wisconsin,NaN,3135,3027,3163,3289,3386,3425
6,Texas,NaN,18685,15089,14411,15588,17393,19324
7,Nebraska,NaN,1009,956,1001,1086,1182,1269
8,Utah,NaN,2300,2243,2486,2881,3308,3705
9,Oregon,NaN,1644,1634,1724,1861,2000,2155
10,Florida,NaN,23907,21817,22876,24472,26053,27403
11,New York,NaN,31170,30465,30359,30910,31597,31656
12,Rhode Island,NaN,1775,1804,1831,1842,1851,1845
13,Georgia,NaN,8222,6800,7088,7933,8911,9516
14,New Hampshire,NaN,1943,2081,2175,2233,2303,2368
15,North Carolina,NaN,6831,7524,8207,9303,10509,11436
16,New Jersey,NaN,25353,27570,29872,31736,33421,35157
17,Colorado,NaN,6344,6302,6359,6400,6418,6473
18,Maryland,NaN,6814,7419,7958,8417,8945,9543
19,Nevada,NaN,1620,1535,1584,1692,1807,1906
20,Tennessee,NaN,4894,5081,5253,5396,5519,5607
21,Hawaii,NaN,565,638,691,714,721,730
22,Indiana,NaN,4555,4532,4687,4847,4953,5035
23,Kentucky,NaN,3052,2855,3025,3473,3980,4500
24,Minnesota,NaN,7124,8134,8833,9301,9668,9997
25,Oklahoma,NaN,1076,970,939,1050,1246,1474
26,Pennsylvania,NaN,18731,20828,22657,24064,25741,27099
27,South Carolina,NaN,6795,6953,7416,7818,8131,8354
28,District of Columbia,NaN,710,744,741,736,733,730
29,Kansas,NaN,694,535,477,453,458,465
30,Missouri,NaN,3544,3668,3886,4074,4264,4404
31,Vermont,NaN,884,862,858,845,825,803
32,Virginia,NaN,8773,9427,10147,10689,11126,11425
33,Connecticut,NaN,4388,4611,4835,5008,5204,5314
34,Iowa,NaN,2188,2222,2372,2558,2745,2910
35,Louisiana,NaN,1410,1726,1594,1602,1658,1755
36,Ohio,NaN,8033,8082,8680,9377,10081,10617
37,Michigan,NaN,21558,26530,28600,28176,27277,26598
38,South Dakota,NaN,798,852,961,1070,1148,1210
39,Arkansas,NaN,713,547,644,854,1121,1399
40,Delaware,NaN,1482,1462,1617,1770,1893,2017
41,Mississippi,NaN,1371,1333,1437,1635,1849,2046
42,New Mexico,NaN,963,834,875,982,1099,1183
43,North Dakota,NaN,524,553,590,623,651,667
44,Wyoming,NaN,157,155,167,185,205,227
45,Alaska,NaN,669,643,627,618,613,605
46,Maine,NaN,1398,1537,1654,1758,1859,1970
47,Alabama,NaN,2102,1790,1965,2424,2996,3475
48,Idaho,NaN,1557,1691,1797,1917,2029,2145
49,Montana,NaN,633,694,813,937,1052,1160
50,Puerto Rico,NaN,1290,1240,1277,1301,1333,1364
51,Virgin Islands,NaN,47,48,46,48,46,47
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,2324,2474,2583,2658,2707,2777
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
