,Region,670,675,682,689,696
0,Belgium,,393,531,617,671
1,Bulgaria,,875,767,673,604
2,Czechia,,737,862,942,980
3,Denmark,,68,85,96,103
4,Germany,,2378,3454,4338,4933
5,Estonia,,49,40,34,29
6,Ireland,,77,114,137,155
7,Greece,,561,563,546,524
8,Spain,,159,194,245,284
9,France,,435,565,703,801
10,Croatia,,412,388,359,327
11,Italy,,456,516,584,629
12,Cyprus,,4,6,7,8
13,Latvia,,161,124,96,78
14,Lithuania,,188,170,153,139
15,Luxembourg,,9,11,12,13
16,Hungary,,940,978,987,971
17,Malta,,1,2,2,2
18,Netherlands,,369,494,579,635
19,Austria,,405,488,544,573
20,Poland,,2454,2832,3039,3131
21,Portugal,,84,101,115,125
22,Romania,,1574,1225,968,784
23,Slovenia,,153,168,173,173
24,Slovakia,,199,145,129,133
25,Finland,,46,57,64,70
26,Sweden,,35,43,49,54
27,United Kingdom,,1216,1428,1659,1830
28,Iceland,,1,2,3,3
29,Liechtenstein,,3,7,10,12
30,Norway,,58,65,69,71
31,Switzerland,,74,88,101,108
