,Region,579,584,591,598,605
0,Belgium,,43,48,49,49
1,Bulgaria,,136,141,140,137
2,Czechia,,10,10,11,11
3,Denmark,,5,5,6,6
4,Germany,,184,277,334,365
5,Estonia,,3,4,4,4
6,Ireland,,22,25,25,25
7,Greece,,178,201,214,222
8,Spain,,612,574,520,465
9,France,,584,621,629,627
10,Croatia,,19,19,20,20
11,Italy,,359,375,377,374
12,Cyprus,,19,18,16,16
13,Latvia,,7,7,7,7
14,Lithuania,,44,46,46,46
15,Luxembourg,,2,2,3,3
16,Hungary,,7,7,7,7
17,Malta,,5,4,3,2
18,Netherlands,,57,60,62,63
19,Austria,,11,13,13,13
20,Poland,,18,19,20,20
21,Portugal,,71,71,72,74
22,Romania,,73,74,72,69
23,Slovenia,,7,7,7,7
24,Slovakia,,5,5,5,5
25,Finland,,21,31,38,43
26,Sweden,,19,23,24,24
27,United Kingdom,,744,765,775,777
28,Iceland,,1,2,2,3
29,Liechtenstein,,0,1,1,1
30,Norway,,2,2,2,2
31,Switzerland,,28,31,31,30
