,Region,677,682,689,696,703
0,Belgium,,361,416,457,472
1,Bulgaria,,723,619,543,487
2,Czechia,,788,800,789,751
3,Denmark,,74,81,84,82
4,Germany,,2562,3093,3457,3648
5,Estonia,,55,50,46,42
6,Ireland,,66,76,90,93
7,Greece,,618,587,547,505
8,Spain,,155,164,187,197
9,France,,453,502,550,566
10,Croatia,,415,384,346,312
11,Italy,,538,567,581,571
12,Cyprus,,1,1,1,1
13,Latvia,,170,155,141,133
14,Lithuania,,157,145,135,127
15,Luxembourg,,4,5,5,5
16,Hungary,,1039,1009,957,894
17,Malta,,6,6,6,6
18,Netherlands,,423,469,487,482
19,Austria,,419,428,418,394
20,Poland,,2519,2589,2571,2466
21,Portugal,,102,107,109,109
22,Romania,,1044,814,681,596
23,Slovenia,,122,115,108,100
24,Slovakia,,437,441,424,399
25,Finland,,62,61,57,53
26,Sweden,,37,39,44,46
27,United Kingdom,,902,951,1002,1030
28,Iceland,,2,2,2,2
29,Liechtenstein,,2,2,2,2
30,Norway,,56,60,63,64
31,Switzerland,,101,111,115,115
