,Region,481,486,493,500,507
0,Belgium,,101,61,41,16
1,Bulgaria,,266,203,163,138
2,Czechia,,160,112,78,53
3,Denmark,,1,0,0,0
4,Germany,,1039,721,506,405
5,Estonia,,18,14,11,8
6,Ireland,,14,12,8,6
7,Greece,,320,245,184,120
8,Spain,,397,276,180,100
9,France,,805,549,393,241
10,Croatia,,206,158,117,86
11,Italy,,990,720,480,303
12,Cyprus,,8,5,2,1
13,Latvia,,50,44,34,25
14,Lithuania,,36,19,2,0
15,Luxembourg,,2,2,1,0
16,Hungary,,369,239,151,88
17,Malta,,0,0,0,0
18,Netherlands,,95,73,73,59
19,Austria,,70,52,43,40
20,Poland,,1360,1072,817,631
21,Portugal,,16,13,9,3
22,Romania,,488,407,339,287
23,Slovenia,,27,22,16,11
24,Slovakia,,184,148,113,82
25,Finland,,7,5,3,1
26,Sweden,,77,53,32,20
27,United Kingdom,,0,0,0,0
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,6,6,4,2
31,Switzerland,,10,0,0,0
