,Region,656,661,668,675,682
0,Belgium,,271,460,600,692
1,Bulgaria,,1104,1099,1052,972
2,Czechia,,402,542,638,706
3,Denmark,,48,73,90,100
4,Germany,,1708,2861,3700,4389
5,Estonia,,89,88,84,77
6,Ireland,,94,144,175,208
7,Greece,,432,541,610,676
8,Spain,,126,129,157,174
9,France,,285,354,422,482
10,Croatia,,305,360,395,413
11,Italy,,347,421,491,546
12,Cyprus,,3,3,3,4
13,Latvia,,240,218,185,155
14,Lithuania,,249,243,235,223
15,Luxembourg,,8,9,10,11
16,Hungary,,553,614,651,668
17,Malta,,1,1,1,1
18,Netherlands,,335,512,647,738
19,Austria,,308,512,663,775
20,Poland,,1126,1470,1720,1867
21,Portugal,,54,66,76,86
22,Romania,,2820,2399,1983,1616
23,Slovenia,,118,160,190,210
24,Slovakia,,339,500,616,686
25,Finland,,43,53,61,69
26,Sweden,,36,40,44,47
27,United Kingdom,,1409,1490,1492,1550
28,Iceland,,3,5,6,7
29,Liechtenstein,,1,1,2,3
30,Norway,,34,45,52,58
31,Switzerland,,51,56,66,72
