,County,817,822
0,01001,NaN,34
1,01003,NaN,60
2,01005,NaN,1
3,01007,NaN,6
4,01009,NaN,28
5,01011,NaN,1
6,01013,NaN,4
7,01015,NaN,7
8,01017,NaN,7
9,01019,NaN,4
10,01021,NaN,22
11,01023,NaN,0
12,01025,NaN,7
13,01027,NaN,1
14,01029,NaN,0
15,01031,NaN,9
16,01033,NaN,8
17,01035,NaN,2
18,01037,NaN,5
19,01039,NaN,6
20,01041,NaN,2
21,01043,NaN,26
22,01045,NaN,8
23,01047,NaN,8
24,01049,NaN,5
25,01051,NaN,79
26,01053,NaN,11
27,01055,NaN,0
28,01057,NaN,4
29,01059,NaN,4
30,01061,NaN,5
31,01063,NaN,2
32,01065,NaN,8
33,01067,NaN,0
34,01069,NaN,11
35,01071,NaN,3
36,01073,NaN,156
37,01075,NaN,2
38,01077,NaN,20
39,01079,NaN,7
40,01081,NaN,30
41,01083,NaN,19
42,01085,NaN,1
43,01087,NaN,2
44,01089,NaN,180
45,01091,NaN,2
46,01093,NaN,3
47,01095,NaN,6
48,01097,NaN,13
49,01099,NaN,1
50,01101,NaN,59
51,01103,NaN,30
52,01105,NaN,1
53,01107,NaN,4
54,01109,NaN,6
55,01111,NaN,2
56,01113,NaN,13
57,01115,NaN,15
58,01117,NaN,123
59,01119,NaN,1
60,01121,NaN,11
61,01123,NaN,16
62,01125,NaN,90
63,01127,NaN,14
64,01129,NaN,1
65,01131,NaN,1
66,01133,NaN,0
67,02013,NaN,4
68,02016,NaN,2
69,02020,NaN,541
70,02050,NaN,52
71,02060,NaN,0
72,02068,NaN,0
73,02070,NaN,28
74,02090,NaN,82
75,02100,NaN,4
76,02105,NaN,0
77,02110,NaN,62
78,02122,NaN,58
79,02130,NaN,21
80,02150,NaN,14
81,02158,NaN,26
82,02164,NaN,10
83,02170,NaN,116
84,02180,NaN,72
85,02185,NaN,12
86,02188,NaN,34
87,02195,NaN,8
88,02198,NaN,1
89,02220,NaN,35
90,02230,NaN,2
