,County,663,668
0,01001,NaN,65
1,01003,NaN,254
2,01005,NaN,20
3,01007,NaN,15
4,01009,NaN,26
5,01011,NaN,0
6,01013,NaN,14
7,01015,NaN,68
8,01017,NaN,16
9,01019,NaN,22
10,01021,NaN,61
11,01023,NaN,7
12,01025,NaN,14
13,01027,NaN,13
14,01029,NaN,13
15,01031,NaN,46
16,01033,NaN,41
17,01035,NaN,11
18,01037,NaN,11
19,01039,NaN,60
20,01041,NaN,28
21,01043,NaN,89
22,01045,NaN,23
23,01047,NaN,20
24,01049,NaN,41
25,01051,NaN,162
26,01053,NaN,26
27,01055,NaN,35
28,01057,NaN,98
29,01059,NaN,69
30,01061,NaN,8
31,01063,NaN,6
32,01065,NaN,9
33,01067,NaN,12
34,01069,NaN,65
35,01071,NaN,27
36,01073,NaN,237
37,01075,NaN,47
38,01077,NaN,80
39,01079,NaN,56
40,01081,NaN,77
41,01083,NaN,116
42,01085,NaN,2
43,01087,NaN,5
44,01089,NaN,98
45,01091,NaN,9
46,01093,NaN,46
47,01095,NaN,62
48,01097,NaN,200
49,01099,NaN,8
50,01101,NaN,37
51,01103,NaN,184
52,01105,NaN,1
53,01107,NaN,22
54,01109,NaN,31
55,01111,NaN,12
56,01113,NaN,24
57,01115,NaN,42
58,01117,NaN,109
59,01119,NaN,7
60,01121,NaN,39
61,01123,NaN,37
62,01125,NaN,174
63,01127,NaN,221
64,01129,NaN,6
65,01131,NaN,4
66,01133,NaN,38
67,02013,NaN,3
68,02016,NaN,3
69,02020,NaN,1095
70,02050,NaN,163
71,02060,NaN,0
72,02068,NaN,8
73,02070,NaN,11
74,02090,NaN,346
75,02100,NaN,3
76,02105,NaN,0
77,02110,NaN,49
78,02122,NaN,189
79,02130,NaN,59
80,02150,NaN,51
81,02158,NaN,27
82,02164,NaN,8
83,02170,NaN,548
84,02180,NaN,164
85,02185,NaN,22
86,02188,NaN,86
87,02195,NaN,27
88,02198,NaN,22
89,02220,NaN,5
90,02230,NaN,0
91,02240,NaN,29
92,02261,NaN,0
93,02275,NaN,15
94,02282,NaN,3
95,02290,NaN,21
96,04001,NaN,194
97,04003,NaN,465
98,04005,NaN,526
99,04007,NaN,308
100,04009,NaN,176
101,04011,NaN,73
102,04012,NaN,36
103,04013,NaN,14348
104,04015,NaN,651
105,04017,NaN,721
106,04019,NaN,3552
107,04021,NaN,1584
108,04023,NaN,206
109,04025,NaN,844
110,04027,NaN,246
111,05001,NaN,12
112,05003,NaN,15
113,05005,NaN,69
114,05007,NaN,367
115,05009,NaN,30
116,05011,NaN,14
117,05013,NaN,1
118,05015,NaN,20
119,05017,NaN,4
120,05019,NaN,32
121,05021,NaN,20
122,05023,NaN,41
123,05025,NaN,2
124,05027,NaN,9
125,05029,NaN,9
126,05031,NaN,126
127,05033,NaN,60
128,05035,NaN,48
129,05037,NaN,14
130,05039,NaN,1
131,05041,NaN,8
132,05043,NaN,24
133,05045,NaN,162
134,05047,NaN,17
135,05049,NaN,37
136,05051,NaN,62
137,05053,NaN,8
138,05055,NaN,98
139,05057,NaN,12
140,05059,NaN,34
141,05061,NaN,24
142,05063,NaN,96
143,05065,NaN,37
144,05067,NaN,60
145,05069,NaN,28
146,05071,NaN,9
147,05073,NaN,2
148,05075,NaN,43
149,05077,NaN,7
150,05079,NaN,2
151,05081,NaN,21
152,05083,NaN,23
153,05085,NaN,76
154,05087,NaN,19
155,05089,NaN,27
156,05091,NaN,40
157,05093,NaN,75
158,05095,NaN,1
159,05097,NaN,6
160,05099,NaN,12
161,05101,NaN,7
162,05103,NaN,8
163,05105,NaN,16
164,05107,NaN,9
165,05109,NaN,15
166,05111,NaN,28
167,05113,NaN,6
168,05115,NaN,58
169,05117,NaN,4
170,05119,NaN,285
171,05121,NaN,18
172,05123,NaN,28
173,05125,NaN,90
174,05127,NaN,6
175,05129,NaN,13
176,05131,NaN,182
177,05133,NaN,37
178,05135,NaN,31
179,05137,NaN,42
180,05139,NaN,29
181,05141,NaN,20
182,05143,NaN,264
183,05145,NaN,131
184,05147,NaN,15
185,05149,NaN,18
186,06001,NaN,840
187,06003,NaN,0
188,06005,NaN,49
189,06007,NaN,286
190,06009,NaN,93
