,County,323,332,339,346,353,360,367
0,01001,3186,201,183,165,158,151,76
1,01003,10288,863,744,650,628,592,324
2,01005,1258,21,21,21,20,20,11
3,01007,1359,62,53,44,40,40,23
4,01009,3600,329,295,258,225,201,99
5,01011,722,0,0,0,0,0,0
6,01013,1287,7,7,6,7,6,4
7,01015,7534,874,880,840,785,696,343
8,01017,1977,116,110,116,111,101,56
9,01019,1149,64,63,58,56,55,30
10,01021,2507,47,29,20,15,15,8
11,01023,444,2,4,5,5,6,3
12,01025,1755,61,62,62,61,59,32
13,01027,991,28,28,30,30,34,20
14,01029,858,7,7,7,13,14,8
15,01031,2821,228,238,246,233,209,102
16,01033,3686,233,195,169,150,134,66
17,01035,770,32,46,57,61,56,30
18,01037,423,60,71,81,77,72,39
19,01039,2465,70,59,52,49,46,27
20,01041,761,14,14,14,13,14,8
21,01043,5474,457,434,406,378,346,183
22,01045,2675,108,103,97,96,90,51
23,01047,2467,59,55,54,50,48,27
24,01049,5635,509,547,558,532,488,240
25,01051,4803,446,466,457,427,370,173
26,01053,2214,7,10,14,22,21,10
27,01055,7693,868,905,884,845,735,356
28,01057,1117,72,59,46,41,41,22
29,01059,2808,48,38,29,26,23,15
30,01061,1374,57,57,52,49,49,27
31,01063,518,0,0,0,0,0,0
32,01065,1099,7,7,8,8,8,5
33,01067,956,0,0,2,6,7,4
34,01069,5907,400,415,440,427,404,206
35,01071,4188,259,207,161,139,130,68
36,01073,38794,5202,6408,7398,7492,6770,3416
37,01075,806,47,48,44,39,36,17
38,01077,4917,473,460,450,429,395,204
39,01079,1525,121,117,114,109,104,51
40,01081,8499,761,1231,1720,1849,1795,924
41,01083,5068,471,514,545,531,483,242
42,01085,850,0,0,0,0,0,0
43,01087,823,57,63,65,66,64,33
44,01089,16115,2754,3577,4209,4237,3800,1851
45,01091,1374,0,0,0,0,0,1
46,01093,1632,121,124,122,120,106,57
47,01095,7551,784,797,770,728,667,334
