,State,621,626,633,640,647,654,661
0,Washington,NaN,275,265,254,238,227,213
1,Illinois,NaN,152,116,88,66,50,36
2,California,NaN,493,356,255,181,132,94
3,Arizona,NaN,272,162,94,54,30,16
4,Massachusetts,NaN,77,44,26,14,8,4
5,Wisconsin,NaN,72,54,40,30,23,18
6,Texas,NaN,1572,930,508,267,140,71
7,Nebraska,NaN,32,30,27,24,22,20
8,Utah,NaN,67,58,50,42,35,30
9,Oregon,NaN,118,114,110,104,98,93
10,Florida,NaN,1185,816,559,382,263,180
11,New York,NaN,191,103,54,28,14,8
12,Rhode Island,NaN,6,3,2,1,1,0
13,Georgia,NaN,386,219,124,70,38,22
14,New Hampshire,NaN,11,10,8,7,6,5
15,North Carolina,NaN,403,335,277,230,195,163
16,New Jersey,NaN,89,45,21,10,6,3
17,Colorado,NaN,90,74,60,47,34,30
18,Maryland,NaN,68,46,30,21,14,10
19,Nevada,NaN,144,94,54,34,22,14
20,Tennessee,NaN,260,174,118,78,52,35
21,Hawaii,NaN,54,55,55,55,56,55
22,Indiana,NaN,174,115,74,47,30,19
23,Kentucky,NaN,271,210,146,95,62,41
24,Minnesota,NaN,100,83,65,51,39,30
25,Oklahoma,NaN,188,134,94,64,44,30
26,Pennsylvania,NaN,329,225,145,93,60,39
27,South Carolina,NaN,412,269,175,114,73,48
28,District of Columbia,NaN,2,1,1,1,0,0
29,Kansas,NaN,70,49,36,26,18,14
30,Missouri,NaN,177,135,93,62,41,28
31,Vermont,NaN,15,16,18,18,20,21
32,Virginia,NaN,276,234,194,158,131,108
33,Connecticut,NaN,119,86,58,38,24,16
34,Iowa,NaN,61,42,29,20,14,9
35,Louisiana,NaN,108,52,25,12,6,3
36,Ohio,NaN,91,68,49,34,25,18
37,Michigan,NaN,149,97,64,41,27,18
38,South Dakota,NaN,16,10,6,4,2,2
39,Arkansas,NaN,115,80,53,37,25,18
40,Delaware,NaN,14,10,6,4,3,2
41,Mississippi,NaN,103,52,23,10,5,2
42,New Mexico,NaN,42,28,19,13,9,6
43,North Dakota,NaN,16,12,8,5,3,2
44,Wyoming,NaN,34,25,19,14,11,8
45,Alaska,NaN,59,48,40,32,26,20
46,Maine,NaN,23,22,22,20,20,20
47,Alabama,NaN,324,182,100,55,30,17
48,Idaho,NaN,181,133,90,60,41,27
49,Montana,NaN,67,49,36,25,18,12
50,Puerto Rico,NaN,54,55,59,64,68,70
51,Virgin Islands,NaN,3,3,3,3,3,2
52,Guam,NaN,10,8,7,6,6,5
53,West Virginia,NaN,156,125,97,76,59,46
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
