,State,565,570,577,584,591,598,605
0,Washington,NaN,32,32,32,32,32,31
1,Illinois,NaN,28,22,18,14,12,10
2,California,NaN,134,127,120,113,107,101
3,Arizona,NaN,107,110,110,112,114,114
4,Massachusetts,NaN,4,3,2,2,2,1
5,Wisconsin,NaN,54,52,51,50,48,48
6,Texas,NaN,54,46,40,34,29,24
7,Nebraska,NaN,3,2,2,2,2,2
8,Utah,NaN,18,16,14,13,12,10
9,Oregon,NaN,28,34,41,51,62,75
10,Florida,NaN,1004,1266,1576,1915,2271,2624
11,New York,NaN,0,0,0,0,0,0
12,Rhode Island,NaN,1,1,0,0,0,0
13,Georgia,NaN,27,24,20,18,15,13
14,New Hampshire,NaN,6,6,6,6,6,6
15,North Carolina,NaN,45,42,40,38,37,36
16,New Jersey,NaN,1,0,0,0,0,0
17,Colorado,NaN,30,28,25,23,22,20
18,Maryland,NaN,62,58,55,52,49,46
19,Nevada,NaN,133,148,162,177,184,190
20,Tennessee,NaN,8,8,8,7,6,6
21,Hawaii,NaN,4,4,4,4,4,4
22,Indiana,NaN,3,3,2,2,2,1
23,Kentucky,NaN,42,40,38,37,36,33
24,Minnesota,NaN,22,20,19,18,16,15
25,Oklahoma,NaN,6,6,4,4,3,2
26,Pennsylvania,NaN,38,32,28,24,21,18
27,South Carolina,NaN,2,2,1,1,1,0
28,District of Columbia,NaN,2,2,2,2,2,2
29,Kansas,NaN,32,32,32,34,34,35
30,Missouri,NaN,87,88,88,87,88,87
31,Vermont,NaN,0,0,0,0,0,0
32,Virginia,NaN,29,27,24,23,21,19
33,Connecticut,NaN,4,3,3,3,2,2
34,Iowa,NaN,8,7,6,6,5,5
35,Louisiana,NaN,8,7,6,6,5,4
36,Ohio,NaN,104,108,112,115,119,124
37,Michigan,NaN,70,62,54,48,41,36
38,South Dakota,NaN,1,1,1,1,1,1
39,Arkansas,NaN,81,88,94,98,104,108
40,Delaware,NaN,10,10,10,10,10,9
41,Mississippi,NaN,57,60,63,66,67,68
42,New Mexico,NaN,14,13,12,12,10,10
43,North Dakota,NaN,2,1,1,1,1,0
44,Wyoming,NaN,8,9,9,9,10,10
45,Alaska,NaN,4,5,5,6,6,6
46,Maine,NaN,8,8,8,8,8,8
47,Alabama,NaN,30,28,26,24,22,21
48,Idaho,NaN,12,12,12,12,12,11
49,Montana,NaN,8,8,8,8,8,7
50,Puerto Rico,NaN,21,27,34,46,58,77
51,Virgin Islands,NaN,0,0,1,1,1,2
52,Guam,NaN,0,0,0,0,0,0
53,West Virginia,NaN,9,8,8,7,7,6
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
