,State,502,507,514,521,528,535,542
0,Washington,NaN,72,76,81,84,88,92
1,Illinois,NaN,194,191,190,188,185,181
2,California,NaN,236,236,238,238,238,238
3,Arizona,NaN,23,20,16,14,12,10
4,Massachusetts,NaN,8,6,5,4,4,3
5,Wisconsin,NaN,120,132,147,162,177,191
6,Texas,NaN,192,170,150,133,116,102
7,Nebraska,NaN,8,8,8,7,6,6
8,Utah,NaN,24,26,28,30,33,36
9,Oregon,NaN,33,34,34,35,36,36
10,Florida,NaN,314,298,282,268,253,238
11,New York,NaN,78,64,52,42,35,28
12,Rhode Island,NaN,2,2,1,1,0,0
13,Georgia,NaN,106,91,79,67,58,49
14,New Hampshire,NaN,11,10,10,10,9,9
15,North Carolina,NaN,104,105,108,111,112,114
16,New Jersey,NaN,16,10,7,5,3,2
17,Colorado,NaN,75,79,83,86,91,94
18,Maryland,NaN,48,43,38,35,31,28
19,Nevada,NaN,24,22,20,18,17,16
20,Tennessee,NaN,42,39,36,33,30,28
21,Hawaii,NaN,3,3,3,3,4,3
22,Indiana,NaN,88,94,98,104,107,112
23,Kentucky,NaN,117,125,133,140,148,153
24,Minnesota,NaN,64,62,61,59,57,55
25,Oklahoma,NaN,44,34,26,20,15,12
26,Pennsylvania,NaN,226,219,212,207,198,190
27,South Carolina,NaN,57,54,52,49,46,44
28,District of Columbia,NaN,2,2,2,2,1,1
29,Kansas,NaN,20,19,20,19,19,18
30,Missouri,NaN,102,108,114,119,122,126
31,Vermont,NaN,2,2,2,2,2,2
32,Virginia,NaN,15,13,12,11,10,10
33,Connecticut,NaN,6,5,4,4,3,2
34,Iowa,NaN,11,9,8,6,6,4
35,Louisiana,NaN,32,28,24,20,18,16
36,Ohio,NaN,102,108,112,118,122,127
37,Michigan,NaN,274,263,250,237,224,210
38,South Dakota,NaN,3,2,2,2,2,1
39,Arkansas,NaN,18,16,14,13,12,11
40,Delaware,NaN,6,5,4,4,4,3
41,Mississippi,NaN,6,5,4,3,2,2
42,New Mexico,NaN,22,18,14,11,8,6
43,North Dakota,NaN,2,2,2,2,2,2
44,Wyoming,NaN,2,2,2,2,2,2
45,Alaska,NaN,6,6,6,6,6,6
46,Maine,NaN,11,11,11,11,11,12
47,Alabama,NaN,89,98,109,120,130,142
48,Idaho,NaN,6,6,5,4,4,4
49,Montana,NaN,8,8,8,8,8,8
50,Puerto Rico,NaN,36,34,34,33,32,32
51,Virgin Islands,NaN,0,0,0,0,0,0
52,Guam,NaN,0,0,0,0,0,0
53,West Virginia,NaN,10,10,9,8,8,7
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
