,State,277,283,290
0,Washington,102913,4750,4958
1,Illinois,378958,32872,31659
2,California,906596,30280,29845
3,Arizona,238163,6268,5999
4,Massachusetts,150565,5670,4388
5,Wisconsin,198166,31840,36332
6,Texas,892006,42153,43432
7,Nebraska,63797,5952,6033
8,Utah,104882,10911,11531
9,Oregon,42101,2525,2486
10,Florida,778636,25645,24587
11,New York,495464,6721,5802
12,Rhode Island,30118,1907,1609
13,Georgia,350923,10695,10550
14,New Hampshire,10328,608,577
15,North Carolina,260099,15397,15361
16,New Jersey,228468,6017,4244
17,Colorado,95066,9575,9208
18,Maryland,140279,4559,4265
19,Nevada,95703,5653,5329
20,Tennessee,247587,17568,17385
21,Hawaii,14672,NaN,NaN
22,Indiana,162607,15211,15569
23,Kentucky,96942,9051,9552
24,Minnesota,133802,12049,11896
25,Oklahoma,116736,10001,10589
26,Pennsylvania,198713,11277,10955
27,South Carolina,170678,6334,6257
28,District of Columbia,16767,424,369
29,Kansas,75816,5342,5743
30,Missouri,171796,13554,14233
31,Vermont,2073,85,38
32,Virginia,173371,7162,7208
33,Connecticut,66052,2195,1886
34,Iowa,116238,8765,8656
35,Louisiana,179842,3381,3179
36,Ohio,198115,16018,15886
37,Michigan,175612,15384,14618
38,South Dakota,39203,6234,6741
39,Arkansas,106115,7455,7633
40,Delaware,23961,893,848
41,Mississippi,115088,5847,5496
42,New Mexico,41863,4779,4817
43,North Dakota,37719,5399,6023
44,Wyoming,11041,2130,2405
45,Alaska,14070,NaN,NaN
46,Maine,6199,237,231
47,Alabama,184355,12109,11984
48,Idaho,59344,6523,6531
49,Montana,27880,5535,6498
50,Puerto Rico,62503,NaN,NaN
51,Virgin Islands,1346,NaN,NaN
52,Guam,4141,NaN,NaN
53,West Virginia,21907,2000,2090
54,Northern Mariana Islands,88,NaN,NaN
55,American Samoa,0,NaN,NaN
