,State,263,269,276
0,Washington,93035,3715,3645
1,Illinois,322178,18222,17263
2,California,855190,23101,22717
3,Arizona,225575,5067,4856
4,Massachusetts,138903,3487,2735
5,Wisconsin,150236,18017,19822
6,Texas,818426,29009,28196
7,Nebraska,52382,5407,5121
8,Utah,85844,8335,8664
9,Oregon,37255,2518,2444
10,Florida,734491,13113,12033
11,New York,474286,5697,4864
12,Rhode Island,26294,1010,857
13,Georgia,331409,8512,8564
14,New Hampshire,9143,531,505
15,North Carolina,231471,13959,13676
16,New Jersey,213628,3632,2798
17,Colorado,78437,5353,5000
18,Maryland,131357,4127,3914
19,Nevada,85779,4060,3785
20,Tennessee,214717,12801,12778
21,Hawaii,13472,NaN,NaN
22,Indiana,134981,9885,10076
23,Kentucky,80292,7977,8320
24,Minnesota,112268,8560,8302
25,Oklahoma,99387,8855,9182
26,Pennsylvania,176781,8351,7945
27,South Carolina,157406,6221,6183
28,District of Columbia,15984,458,418
29,Kansas,65303,4303,4304
30,Missouri,145938,15112,16292
31,Vermont,1868,47,41
32,Virginia,158716,7498,7404
33,Connecticut,60038,1124,984
34,Iowa,99943,7359,6970
35,Louisiana,172059,2833,2583
36,Ohio,168749,9687,9561
37,Michigan,149453,8575,7787
38,South Dakota,28564,4244,4120
39,Arkansas,92833,6021,6385
40,Delaware,22130,892,815
41,Mississippi,104932,4890,4572
42,New Mexico,32983,2507,2482
43,North Dakota,27264,3591,4032
44,Wyoming,7611,973,982
45,Alaska,10697,NaN,NaN
46,Maine,5720,203,202
47,Alabama,165342,6599,6404
48,Idaho,48066,4102,4095
49,Montana,18702,3591,3820
50,Puerto Rico,53671,NaN,NaN
51,Virgin Islands,1325,NaN,NaN
52,Guam,2989,NaN,NaN
53,West Virginia,18132,1550,1639
54,Northern Mariana Islands,77,NaN,NaN
55,American Samoa,0,NaN,NaN
