,State,298,304,311
0,Washington,130040,12525,12412
1,Illinois,573616,87779,90665
2,California,1032095,54159,54246
3,Arizona,275436,16903,16279
4,Massachusetts,188275,15062,12046
5,Wisconsin,329924,53419,61966
6,Texas,1073590,67258,65735
7,Nebraska,98161,15937,17375
8,Utah,153808,23783,25039
9,Oregon,56880,6729,6896
10,Florida,885201,36353,34419
11,New York,560200,20479,17025
12,Rhode Island,41529,4218,3736
13,Georgia,424989,18879,18635
14,New Hampshire,14682,2038,1895
15,North Carolina,312235,19560,20195
16,New Jersey,279274,16133,13809
17,Colorado,163417,33622,36033
18,Maryland,165930,11568,11361
19,Nevada,120183,11050,11072
20,Tennessee,310937,27309,27960
21,Hawaii,16759,NaN,NaN
22,Indiana,251597,42777,47159
23,Kentucky,137586,16569,18526
24,Minnesota,223581,45068,48180
25,Oklahoma,154128,15933,17291
26,Pennsylvania,268696,31434,31103
27,South Carolina,195507,10046,10073
28,District of Columbia,18977,889,831
29,Kansas,117564,14450,15464
30,Missouri,244541,38460,40297
31,Vermont,2889,300,140
32,Virginia,201960,10417,10409
33,Connecticut,88645,7532,6243
34,Iowa,186314,33746,34956
35,Louisiana,204513,13410,12689
36,Ohio,298096,46538,49884
37,Michigan,275792,50190,51514
38,South Dakota,65381,11341,12375
39,Arkansas,133040,12111,12563
40,Delaware,28803,1989,1853
41,Mississippi,134309,7852,7891
42,New Mexico,64201,9914,10722
43,North Dakota,63796,9716,11014
44,Wyoming,22494,5769,6125
45,Alaska,23814,NaN,NaN
46,Maine,8944,1022,977
47,Alabama,217822,13841,14003
48,Idaho,82245,9812,10483
49,Montana,47158,7884,8944
50,Puerto Rico,42479,NaN,NaN
51,Virgin Islands,1434,NaN,NaN
52,Guam,5924,NaN,NaN
53,West Virginia,33659,5500,5655
54,Northern Mariana Islands,102,NaN,NaN
55,American Samoa,0,NaN,NaN
