,State,319,325,332
0,Washington,177447,16511,17822
1,Illinois,787573,67466,82738
2,California,1366673,142689,142032
3,Arizona,364276,38124,37888
4,Massachusetts,256844,29787,28229
5,Wisconsin,441067,33367,35767
6,Texas,1322738,95327,97760
7,Nebraska,139834,13250,16395
8,Utah,215407,23143,25618
9,Oregon,84496,11971,13695
10,Florida,1058074,66510,65064
11,New York,705827,51669,49608
12,Rhode Island,62137,7985,8576
13,Georgia,501405,34209,34061
14,New Hampshire,24771,4715,5758
15,North Carolina,394990,32243,34450
16,New Jersey,368016,28232,28593
17,Colorado,260581,32450,41871
18,Maryland,215027,17975,18456
19,Nevada,168140,17862,19154
20,Tennessee,400594,36490,39139
21,Hawaii,18842,NaN,NaN
22,Indiana,381617,53229,63070
23,Kentucky,200631,23987,25809
24,Minnesota,350862,41461,54871
25,Oklahoma,216486,22790,25039
26,Pennsylvania,423100,66306,77578
27,South Carolina,232099,14958,14866
28,District of Columbia,23136,1642,1555
29,Kansas,171364,17199,20258
30,Missouri,329420,29692,34288
31,Vermont,5015,880,1492
32,Virginia,255053,18305,18959
33,Connecticut,127715,12876,13847
34,Iowa,244691,16218,20456
35,Louisiana,251123,15262,14623
36,Ohio,475024,73636,93063
37,Michigan,426576,52456,69145
38,South Dakota,85991,5703,7158
39,Arkansas,170924,15103,16369
40,Delaware,39912,4328,4350
41,Mississippi,164931,13202,13551
42,New Mexico,108088,14357,17335
43,North Dakota,82981,4238,4936
44,Wyoming,36317,4227,4691
45,Alaska,37036,NaN,NaN
46,Maine,13348,1709,2029
47,Alabama,269877,22213,22730
48,Idaho,110510,10425,11253
49,Montana,67875,5269,6108
50,Puerto Rico,56671,NaN,NaN
51,Virgin Islands,1633,NaN,NaN
52,Guam,6959,NaN,NaN
53,West Virginia,54997,8050,9430
54,Northern Mariana Islands,109,NaN,NaN
55,American Samoa,0,NaN,NaN
