,State,256,262,269
0,Washington,89874,3800,3731
1,Illinois,304235,14866,14525
2,California,832713,22813,22590
3,Arizona,220754,3766,3721
4,Massachusetts,134947,3620,2781
5,Wisconsin,132663,18221,19057
6,Texas,790194,33305,32279
7,Nebraska,47807,3695,3565
8,Utah,77618,6830,6859
9,Oregon,34770,2042,1984
10,Florida,716459,16963,16419
11,New York,464582,4989,4582
12,Rhode Island,25076,701,596
13,Georgia,322925,8890,8814
14,New Hampshire,8645,427,401
15,North Carolina,217496,12603,12451
16,New Jersey,208202,3145,2357
17,Colorado,73054,4006,3792
18,Maryland,127290,3911,3809
19,Nevada,82100,3465,3290
20,Tennessee,201210,8723,8600
21,Hawaii,12804,NaN,NaN
22,Indiana,125146,7894,7967
23,Kentucky,72617,6541,6825
24,Minnesota,103826,7718,7509
25,Oklahoma,90748,7714,8002
26,Pennsylvania,168126,5689,5156
27,South Carolina,151582,6384,6458
28,District of Columbia,15519,117,107
29,Kansas,60980,4052,4000
30,Missouri,134079,9584,10208
31,Vermont,1785,47,37
32,Virginia,151870,5725,5641
33,Connecticut,58297,1124,950
34,Iowa,92744,6750,6663
35,Louisiana,168294,2856,2523
36,Ohio,158907,8151,8049
37,Michigan,141271,6962,6593
38,South Dakota,24418,3330,3388
39,Arkansas,87013,6055,6162
40,Delaware,21243,955,849
41,Mississippi,100488,3854,3658
42,New Mexico,30477,1637,1623
43,North Dakota,23550,3033,3471
44,Wyoming,6504,816,793
45,Alaska,9413,NaN,NaN
46,Maine,5519,215,211
47,Alabama,159169,7696,7609
48,Idaho,43964,3531,3454
49,Montana,14635,2297,2576
50,Puerto Rico,50675,NaN,NaN
51,Virgin Islands,1327,NaN,NaN
52,Guam,2617,NaN,NaN
53,West Virginia,16635,1379,1449
54,Northern Mariana Islands,73,NaN,NaN
55,American Samoa,0,NaN,NaN
