,Region,467,472,479,486,493
0,Belgium,,19645,17221,14910,12993
1,Bulgaria,,NaN,NaN,NaN,NaN
2,Czechia,,13636,12590,12340,12141
3,Denmark,,NaN,NaN,NaN,NaN
4,Germany,,119233,110800,103506,96722
5,Estonia,,NaN,NaN,NaN,NaN
6,Ireland,,3201,3213,3180,3107
7,Greece,,NaN,NaN,NaN,NaN
8,Spain,,52304,49682,45256,39570
9,France,,144944,118381,95976,81963
10,Croatia,,11990,10831,10031,9459
11,Italy,,80735,75697,72649,69369
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,NaN,NaN,NaN,NaN
14,Lithuania,,NaN,NaN,NaN,NaN
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,13443,12007,10686,9688
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,48477,42745,36976,31914
19,Austria,,12373,11086,10188,9375
20,Poland,,37324,30716,28685,26906
21,Portugal,,2751,2617,2399,2202
22,Romania,,NaN,NaN,NaN,NaN
23,Slovenia,,NaN,NaN,NaN,NaN
24,Slovakia,,2911,2538,2281,2019
25,Finland,,NaN,NaN,NaN,NaN
26,Sweden,,33656,31287,29413,27388
27,United Kingdom,,13841,13975,14181,14500
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,NaN,NaN,NaN,NaN
31,Switzerland,,NaN,NaN,NaN,NaN
