,Region,425,430,437,444,451
0,Belgium,,NaN,NaN,NaN,NaN
1,Bulgaria,,NaN,NaN,NaN,NaN
2,Czechia,,NaN,NaN,NaN,NaN
3,Denmark,,5734,5734,5734,5734
4,Germany,,132331,174735,202022,216385
5,Estonia,,NaN,NaN,NaN,NaN
6,Ireland,,NaN,NaN,NaN,NaN
7,Greece,,NaN,NaN,NaN,NaN
8,Spain,,NaN,NaN,NaN,NaN
9,France,,209435,226832,219550,192482
10,Croatia,,NaN,NaN,NaN,NaN
11,Italy,,175151,174855,169767,158462
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,3751,3854,3879,3964
14,Lithuania,,NaN,NaN,NaN,NaN
15,Luxembourg,,1685,1904,2100,1794
16,Hungary,,NaN,NaN,NaN,NaN
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,49676,54972,59183,60700
19,Austria,,23594,26566,28337,25187
20,Poland,,186751,220927,249045,268748
21,Portugal,,3260,3033,2857,2795
22,Romania,,41094,45387,48360,50551
23,Slovenia,,6710,7486,8011,8922
24,Slovakia,,11752,11752,11752,11752
25,Finland,,NaN,NaN,NaN,NaN
26,Sweden,,34598,36932,39663,41511
27,United Kingdom,,41575,43556,46415,49963
28,Iceland,,170,228,323,207
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,8452,9129,9518,8901
31,Switzerland,,NaN,NaN,NaN,NaN
