,Region,600,605
0,Belgium,,45
1,Bulgaria,,472
2,Czechia,,NaN
3,Denmark,,33
4,Germany,,358
5,Estonia,,NaN
6,Ireland,,104
7,Greece,,368
8,Spain,,84
9,France,,545
10,Croatia,,115
11,Italy,,452
12,Cyprus,,16
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,35
19,Austria,,50
20,Poland,,59
21,Portugal,,63
22,Romania,,383
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,26
