,Region,474,479
0,Belgium,,200
1,Bulgaria,,349
2,Czechia,,273
3,Denmark,,7
4,Germany,,1535
5,Estonia,,NaN
6,Ireland,,11
7,Greece,,561
8,Spain,,96
9,France,,1229
10,Croatia,,276
11,Italy,,1360
12,Cyprus,,24
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,556
17,Malta,,NaN
18,Netherlands,,178
19,Austria,,114
20,Poland,,1690
21,Portugal,,15
22,Romania,,538
23,Slovenia,,7
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,6
27,United Kingdom,,56
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,17
