,Region,432,437
0,Belgium,,177
1,Bulgaria,,662
2,Czechia,,1082
3,Denmark,,16
4,Germany,,1154
5,Estonia,,NaN
6,Ireland,,82
7,Greece,,431
8,Spain,,105
9,France,,1746
10,Croatia,,143
11,Italy,,3391
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,2201
17,Malta,,NaN
18,Netherlands,,180
19,Austria,,194
20,Poland,,3236
21,Portugal,,44
22,Romania,,1093
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,16
27,United Kingdom,,355
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,21
