,Region,453,458
0,Belgium,,234
1,Bulgaria,,746
2,Czechia,,469
3,Denmark,,14
4,Germany,,1895
5,Estonia,,NaN
6,Ireland,,63
7,Greece,,655
8,Spain,,102
9,France,,1899
10,Croatia,,292
11,Italy,,2479
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1729
17,Malta,,NaN
18,Netherlands,,164
19,Austria,,239
20,Poland,,4350
21,Portugal,,24
22,Romania,,1111
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,13
27,United Kingdom,,186
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,9
