,Region,579,584
0,Belgium,,30
1,Bulgaria,,204
2,Czechia,,NaN
3,Denmark,,NaN
4,Germany,,108
5,Estonia,,NaN
6,Ireland,,17
7,Greece,,171
8,Spain,,185
9,France,,833
10,Croatia,,24
11,Italy,,557
12,Cyprus,,24
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,40
19,Austria,,NaN
20,Poland,,16
21,Portugal,,74
22,Romania,,129
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,22
