,Region,663,668
0,Belgium,,132
1,Bulgaria,,1454
2,Czechia,,503
3,Denmark,,39
4,Germany,,1745
5,Estonia,,87
6,Ireland,,NaN
7,Greece,,530
8,Spain,,119
9,France,,252
10,Croatia,,580
11,Italy,,485
12,Cyprus,,NaN
13,Latvia,,286
14,Lithuania,,201
15,Luxembourg,,NaN
16,Hungary,,728
17,Malta,,NaN
18,Netherlands,,246
19,Austria,,NaN
20,Poland,,1750
21,Portugal,,44
22,Romania,,1961
23,Slovenia,,NaN
24,Slovakia,,433
25,Finland,,NaN
26,Sweden,,7
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,28
31,Switzerland,,32
