,Region,565,570
0,Belgium,,20
1,Bulgaria,,79
2,Czechia,,NaN
3,Denmark,,NaN
4,Germany,,113
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,108
8,Spain,,200
9,France,,416
10,Croatia,,9
11,Italy,,194
12,Cyprus,,26
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,68
19,Austria,,17
20,Poland,,24
21,Portugal,,121
22,Romania,,65
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
