,Region,656,661
0,Belgium,,86
1,Bulgaria,,1252
2,Czechia,,417
3,Denmark,,27
4,Germany,,1087
5,Estonia,,NaN
6,Ireland,,52
7,Greece,,403
8,Spain,,14
9,France,,246
10,Croatia,,373
11,Italy,,333
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,612
17,Malta,,NaN
18,Netherlands,,234
19,Austria,,132
20,Poland,,1370
21,Portugal,,58
22,Romania,,3166
23,Slovenia,,8
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,8
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,7
