,Region,670,675
0,Belgium,,196
1,Bulgaria,,775
2,Czechia,,715
3,Denmark,,66
4,Germany,,1853
5,Estonia,,65
6,Ireland,,NaN
7,Greece,,704
8,Spain,,49
9,France,,391
10,Croatia,,535
11,Italy,,472
12,Cyprus,,NaN
13,Latvia,,219
14,Lithuania,,189
15,Luxembourg,,NaN
16,Hungary,,829
17,Malta,,NaN
18,Netherlands,,316
19,Austria,,NaN
20,Poland,,3911
21,Portugal,,89
22,Romania,,1762
23,Slovenia,,NaN
24,Slovakia,,375
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,38
31,Switzerland,,29
