,Region,607,612
0,Belgium,,21
1,Bulgaria,,596
2,Czechia,,NaN
3,Denmark,,21
4,Germany,,433
5,Estonia,,NaN
6,Ireland,,17
7,Greece,,308
8,Spain,,89
9,France,,332
10,Croatia,,84
11,Italy,,424
12,Cyprus,,7
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,41
17,Malta,,NaN
18,Netherlands,,54
19,Austria,,59
20,Poland,,91
21,Portugal,,40
22,Romania,,1185
23,Slovenia,,16
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,13
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,14
