,Region,509,514
0,Belgium,,31
1,Bulgaria,,48
2,Czechia,,63
3,Denmark,,NaN
4,Germany,,514
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,109
8,Spain,,41
9,France,,269
10,Croatia,,34
11,Italy,,439
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,25
17,Malta,,NaN
18,Netherlands,,26
19,Austria,,11
20,Poland,,298
21,Portugal,,NaN
22,Romania,,77
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,4
27,United Kingdom,,76
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,7
