,Region,446,451
0,Belgium,,332
1,Bulgaria,,901
2,Czechia,,693
3,Denmark,,10
4,Germany,,1631
5,Estonia,,NaN
6,Ireland,,63
7,Greece,,581
8,Spain,,140
9,France,,2285
10,Croatia,,374
11,Italy,,3607
12,Cyprus,,9
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1722
17,Malta,,NaN
18,Netherlands,,148
19,Austria,,292
20,Poland,,4667
21,Portugal,,31
22,Romania,,1161
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,10
27,United Kingdom,,207
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,38
