,Region,516,521
0,Belgium,,28
1,Bulgaria,,80
2,Czechia,,45
3,Denmark,,NaN
4,Germany,,518
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,102
8,Spain,,19
9,France,,265
10,Croatia,,20
11,Italy,,202
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,17
17,Malta,,NaN
18,Netherlands,,8
19,Austria,,18
20,Poland,,175
21,Portugal,,25
22,Romania,,35
23,Slovenia,,5
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
