,Region,558,563
0,Belgium,,23
1,Bulgaria,,15
2,Czechia,,19
3,Denmark,,NaN
4,Germany,,129
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,101
8,Spain,,144
9,France,,341
10,Croatia,,NaN
11,Italy,,149
12,Cyprus,,36
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,52
19,Austria,,NaN
20,Poland,,13
21,Portugal,,93
22,Romania,,7
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
