,Region,460,465
0,Belgium,,239
1,Bulgaria,,642
2,Czechia,,368
3,Denmark,,30
4,Germany,,1710
5,Estonia,,NaN
6,Ireland,,25
7,Greece,,529
8,Spain,,146
9,France,,2154
10,Croatia,,331
11,Italy,,2023
12,Cyprus,,11
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1229
17,Malta,,NaN
18,Netherlands,,121
19,Austria,,189
20,Poland,,3338
21,Portugal,,12
22,Romania,,1250
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,14
27,United Kingdom,,150
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,21
