,Region,537,542
0,Belgium,,4
1,Bulgaria,,53
2,Czechia,,NaN
3,Denmark,,NaN
4,Germany,,131
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,44
8,Spain,,12
9,France,,115
10,Croatia,,7
11,Italy,,104
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,7
17,Malta,,NaN
18,Netherlands,,11
19,Austria,,NaN
20,Poland,,56
21,Portugal,,55
22,Romania,,8
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
