,Region,488,493
0,Belgium,,90
1,Bulgaria,,147
2,Czechia,,72
3,Denmark,,NaN
4,Germany,,1158
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,329
8,Spain,,47
9,France,,704
10,Croatia,,154
11,Italy,,889
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,202
17,Malta,,NaN
18,Netherlands,,72
19,Austria,,58
20,Poland,,1007
21,Portugal,,18
22,Romania,,323
23,Slovenia,,11
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,3
27,United Kingdom,,34
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,15
