,Region,523,528
0,Belgium,,14
1,Bulgaria,,19
2,Czechia,,8
3,Denmark,,NaN
4,Germany,,295
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,106
8,Spain,,16
9,France,,118
10,Croatia,,14
11,Italy,,132
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,14
17,Malta,,NaN
18,Netherlands,,13
19,Austria,,138
20,Poland,,98
21,Portugal,,22
22,Romania,,25
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
