,Region,418,423
0,Belgium,,147
1,Bulgaria,,879
2,Czechia,,1701
3,Denmark,,7
4,Germany,,1294
5,Estonia,,NaN
6,Ireland,,103
7,Greece,,429
8,Spain,,187
9,France,,1671
10,Croatia,,89
11,Italy,,2562
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1257
17,Malta,,NaN
18,Netherlands,,229
19,Austria,,120
20,Poland,,2411
21,Portugal,,104
22,Romania,,671
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,16
27,United Kingdom,,752
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,33
