,Region,593,598
0,Belgium,,22
1,Bulgaria,,565
2,Czechia,,NaN
3,Denmark,,17
4,Germany,,290
5,Estonia,,NaN
6,Ireland,,25
7,Greece,,253
8,Spain,,145
9,France,,586
10,Croatia,,72
11,Italy,,500
12,Cyprus,,17
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,38
19,Austria,,37
20,Poland,,71
21,Portugal,,62
22,Romania,,277
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,20
