,Region,530,535
0,Belgium,,11
1,Bulgaria,,58
2,Czechia,,9
3,Denmark,,NaN
4,Germany,,209
5,Estonia,,NaN
6,Ireland,,15
7,Greece,,61
8,Spain,,17
9,France,,156
10,Croatia,,14
11,Italy,,194
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,3
17,Malta,,NaN
18,Netherlands,,20
19,Austria,,NaN
20,Poland,,71
21,Portugal,,44
22,Romania,,15
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
