,Region,614,619
0,Belgium,,48
1,Bulgaria,,453
2,Czechia,,26
3,Denmark,,14
4,Germany,,617
5,Estonia,,NaN
6,Ireland,,35
7,Greece,,192
8,Spain,,69
9,France,,286
10,Croatia,,106
11,Italy,,372
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,16
17,Malta,,NaN
18,Netherlands,,43
19,Austria,,102
20,Poland,,130
21,Portugal,,50
22,Romania,,1161
23,Slovenia,,14
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,5
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,13
