,Region,481,486
0,Belgium,,102
1,Bulgaria,,249
2,Czechia,,165
3,Denmark,,NaN
4,Germany,,1219
5,Estonia,,NaN
6,Ireland,,16
7,Greece,,321
8,Spain,,98
9,France,,1035
10,Croatia,,217
11,Italy,,1184
12,Cyprus,,15
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,406
17,Malta,,NaN
18,Netherlands,,120
19,Austria,,77
20,Poland,,1600
21,Portugal,,11
22,Romania,,499
23,Slovenia,,11
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,7
27,United Kingdom,,66
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,7
