,Region,572,577
0,Belgium,,10
1,Bulgaria,,183
2,Czechia,,NaN
3,Denmark,,NaN
4,Germany,,71
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,216
8,Spain,,243
9,France,,416
10,Croatia,,11
11,Italy,,297
12,Cyprus,,23
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,55
19,Austria,,9
20,Poland,,12
21,Portugal,,95
22,Romania,,47
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
